Date/Time	counts (1 sec)	cps	cpm	µR/h	mR/h	µSv/h	Averaging Time (sec)
2022/08/19 13:17:17	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 13:17:18	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 13:17:19	0	0	0	0	0	0	1
2022/08/19 13:17:20	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 13:17:21	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 13:17:22	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 13:17:23	0	0	0	0	0	0	1
2022/08/19 13:17:24	2	2	120	35.9281437125749	0.0359281437125748	0.359281437125749	1
2022/08/19 13:17:25	0	0	0	0	0	0	1
2022/08/19 13:17:26	0	0	0	0	0	0	1
2022/08/19 13:17:27	0	0	0	0	0	0	1
2022/08/19 13:17:28	0	0	0	0	0	0	1
2022/08/19 13:17:29	1	1	60	17.9640718562874	0.0179640718562874	0.179640718562874	1
2022/08/19 13:17:30	0	0	0	0	0	0	1
2022/08/19 13:17:31	0	0	0	0	0	0	1
2022/08/19 13:17:32	0	0	0	0	0	0	1
2022/08/19 13:17:34	0	0	0	0	0	0	1
2022/08/19 13:17:35	0	0	0	0	0	0	1
2022/08/19 13:17:36	1	0	0	0	0	0	1
2022/08/19 13:17:37	1	0	0	0	0	0	1
2022/08/19 13:17:38	1	0	0	0	0	0	1
2022/08/19 13:17:39	0	0	0	0	0	0	1
2022/08/19 13:17:40	1	0	0	0	0	0	1
2022/08/19 13:17:41	1	0	0	0	0	0	1
2022/08/19 13:17:42	1	0	0	0	0	0	1
2022/08/19 13:17:43	1	0	0	0	0	0	1
2022/08/19 13:17:44	1	0	0	0	0	0	1
2022/08/19 13:17:45	2	0	0	0	0	0	1
2022/08/19 13:17:46	1	0	0	0	0	0	1
2022/08/19 13:17:47	0	0	0	0	0	0	1
2022/08/19 13:17:48	0	0	0	0	0	0	1
2022/08/19 13:17:49	1	0	0	0	0	0	1
2022/08/19 13:17:50	0	0	0	0	0	0	1
2022/08/19 13:17:51	0	0	0	0	0	0	1
2022/08/19 13:17:52	0	0	0	0	0	0	1
2022/08/19 13:17:53	2	0	0	0	0	0	1
2022/08/19 13:17:54	0	0	0	0	0	0	1
2022/08/19 13:17:55	3	0	0	0	0	0	1
2022/08/19 13:17:56	2	0	0	0	0	0	1
2022/08/19 13:17:57	0	0	0	0	0	0	1
2022/08/19 13:17:58	0	0	0	0	0	0	1
2022/08/19 13:17:59	1	0	0	0	0	0	1
2022/08/19 13:18:00	0	0	0	0	0	0	1
2022/08/19 13:18:01	1	0	0	0	0	0	1
2022/08/19 13:18:02	0	0	0	0	0	0	1
2022/08/19 13:18:03	1	0	0	0	0	0	1
2022/08/19 13:18:04	1	0	0	0	0	0	1
2022/08/19 13:18:05	0	0	0	0	0	0	1
2022/08/19 13:18:06	0	0	0	0	0	0	1
2022/08/19 13:18:07	1	0	0	0	0	0	1
2022/08/19 13:18:08	0	0	0	0	0	0	1
2022/08/19 13:18:09	1	0	0	0	0	0	1
2022/08/19 13:18:10	0	0	0	0	0	0	1
2022/08/19 13:18:11	0	0	0	0	0	0	1
2022/08/19 13:18:12	1	0	0	0	0	0	1
2022/08/19 13:18:13	1	0	0	0	0	0	1
2022/08/19 13:18:14	0	0	0	0	0	0	1
2022/08/19 13:18:15	2	0	0	0	0	0	1
2022/08/19 13:18:16	3	0	0	0	0	0	1
2022/08/19 13:18:17	0	0	0	0	0	0	1
2022/08/19 13:18:18	1	0	0	0	0	0	1
2022/08/19 13:18:19	0	0	0	0	0	0	1
2022/08/19 13:18:20	0	0	0	0	0	0	1
2022/08/19 13:18:21	1	0	0	0	0	0	1
2022/08/19 13:18:22	1	0	0	0	0	0	1
2022/08/19 13:18:23	1	0	0	0	0	0	1
2022/08/19 13:18:24	0	0	0	0	0	0	1
2022/08/19 13:18:25	1	0	0	0	0	0	1
2022/08/19 13:18:26	0	0	0	0	0	0	1
2022/08/19 13:18:27	3	0	0	0	0	0	1
2022/08/19 13:18:28	0	0	0	0	0	0	1
2022/08/19 13:18:29	2	0	0	0	0	0	1
2022/08/19 13:18:30	0	0	0	0	0	0	1
2022/08/19 13:18:31	1	0	0	0	0	0	1
